fixture_id,timestep,tau,is_post_migration,jaccard,lsh_match,cosine,euclidean,b,r,n_steps,L,invariant_ratio,perturbation_magnitude,entropy_start,entropy_growth_rate,coord_start,coord_slope,seed
hmap_ir6_pm7_0000,8,8,True,0.0625,False,0.8957018752186087,0.07800489792183794,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0000,9,8,True,0.03125,False,0.8981732969344592,0.07428298602774437,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0000,10,8,True,0.03125,False,0.8932018127540642,0.07027721854331154,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0000,11,8,True,0.03125,False,0.9078883089291098,0.08268891645891058,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,0
hmap_ir6_pm7_0001,0,6,False,1.0,True,1.0,1.0,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,1,6,False,0.78125,True,0.9945637905456983,0.5509347219007539,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,2,6,False,0.625,True,0.989343026028083,0.41477877788401085,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,3,6,False,0.5625,True,0.9818787249036437,0.3129823173515615,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,4,6,False,0.5,True,0.9841824622966429,0.3427007202441972,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,5,6,False,0.5,True,0.980244078047578,0.29384418331079243,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,6,6,True,0.0625,False,0.9458364199302023,0.1253695861600976,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,7,6,True,0.0625,False,0.9459760347436319,0.11500274691450149,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,8,6,True,0.0625,False,0.9423448421451891,0.10022384824193067,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,9,6,True,0.03125,False,0.9477314644906483,0.11456392838427475,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,10,6,True,0.03125,False,0.9435452581084085,0.10701126699166896,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0001,11,6,True,0.0,False,0.926717950424551,0.08382075602434942,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,1
hmap_ir6_pm7_0002,0,8,False,1.0,True,1.0,1.0,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,1,8,False,0.75,True,0.9947101206082456,0.5383022142767245,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,2,8,False,0.6875,True,0.9915614476755343,0.4420331750519782,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,3,8,False,0.625,True,0.9829520587746423,0.3066138386728196,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,4,8,False,0.53125,True,0.9750590031324367,0.24121465447682866,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,5,8,False,0.5,True,0.9633270727945845,0.17508309289626012,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,6,8,False,0.46875,True,0.9603824571374862,0.14665729096948302,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,7,8,False,0.4375,True,0.9623653893088122,0.16274307511612962,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,8,8,True,0.03125,False,0.9364781867263104,0.09003218363578094,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,9,8,True,0.0,False,0.9270818650312266,0.08307596757928247,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,10,8,True,0.0,False,0.9245577576692018,0.07642344820925333,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0002,11,8,True,0.0,False,0.9163604631203109,0.059269512992598,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,2
hmap_ir6_pm7_0003,0,8,False,1.0,True,0.9999999999999999,1.0,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,1,8,False,0.84375,True,0.9901435061712299,0.4759524259584867,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,2,8,False,0.71875,True,0.98387627355125,0.3708886335120635,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,3,8,False,0.65625,True,0.9729365897257365,0.2761293909435127,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,4,8,False,0.5625,True,0.9618407472744501,0.20842917778534023,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,5,8,False,0.5625,True,0.9504653536729105,0.16955709752976847,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,6,8,False,0.53125,True,0.9325120052718874,0.12861287400991347,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,7,8,False,0.4375,True,0.9357056827714728,0.13417616784420694,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,8,8,True,0.03125,False,0.8674509676813265,0.058613681362357985,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,9,8,True,0.03125,False,0.8497150388424486,0.047924815680756926,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,10,8,True,0.0,False,0.8246522477115419,0.03681160167544993,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0003,11,8,True,0.0,False,0.824343412136012,0.0328523412470178,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,3
hmap_ir6_pm7_0004,0,8,False,1.0,True,1.0,1.0,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,4
hmap_ir6_pm7_0004,1,8,False,0.875,True,0.990169690355483,0.45533242447501615,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,4
hmap_ir6_pm7_0004,2,8,False,0.71875,True,0.9840494249772848,0.35528802037152796,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,4
hmap_ir6_pm7_0004,3,8,False,0.65625,True,0.9773638678679184,0.27751751403205865,8,4,12,32,0.6,0.7,2.1,0.243,0.12,0.074,4
